sample interval	      I	     II	    III	    AVR	    AVL	    AVF	     V1	     V2	     V3	     V4	     V5	     V6
    (0.001 sec)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
           3204	 -0.033	 -0.138	 -0.105	  0.085	  0.035	 -0.120	  0.003	 -0.123	 -0.200	 -0.258	 -0.173	 -0.110
           3205	 -0.038	 -0.140	 -0.105	  0.088	  0.033	 -0.120	  0.010	 -0.120	 -0.200	 -0.255	 -0.170	 -0.108
           3206	 -0.043	 -0.145	 -0.103	  0.093	  0.030	 -0.123	  0.015	 -0.118	 -0.203	 -0.255	 -0.168	 -0.103
           3207	 -0.045	 -0.148	 -0.103	  0.095	  0.028	 -0.123	  0.015	 -0.118	 -0.205	 -0.255	 -0.165	 -0.100
           3208	 -0.043	 -0.145	 -0.103	  0.093	  0.030	 -0.123	  0.010	 -0.120	 -0.203	 -0.255	 -0.165	 -0.103
           3209	 -0.038	 -0.143	 -0.105	  0.090	  0.033	 -0.123	  0.005	 -0.123	 -0.200	 -0.255	 -0.165	 -0.110
           3210	 -0.038	 -0.143	 -0.105	  0.090	  0.033	 -0.123	  0.005	 -0.120	 -0.203	 -0.253	 -0.168	 -0.115
           3211	 -0.040	 -0.143	 -0.103	  0.090	  0.030	 -0.123	  0.008	 -0.113	 -0.205	 -0.253	 -0.170	 -0.115
           3212	 -0.040	 -0.143	 -0.103	  0.090	  0.030	 -0.123	  0.008	 -0.110	 -0.200	 -0.253	 -0.168	 -0.110
           3213	 -0.038	 -0.143	 -0.105	  0.090	  0.033	 -0.123	  0.005	 -0.113	 -0.195	 -0.253	 -0.163	 -0.108
           3214	 -0.038	 -0.145	 -0.108	  0.090	  0.035	 -0.125	  0.003	 -0.115	 -0.195	 -0.253	 -0.160	 -0.108
           3215	 -0.038	 -0.145	 -0.108	  0.093	  0.035	 -0.128	  0.005	 -0.115	 -0.200	 -0.253	 -0.163	 -0.108
           3216	 -0.040	 -0.145	 -0.105	  0.093	  0.033	 -0.125	  0.008	 -0.118	 -0.205	 -0.253	 -0.170	 -0.108
           3217	 -0.040	 -0.145	 -0.105	  0.093	  0.033	 -0.123	  0.005	 -0.123	 -0.205	 -0.253	 -0.173	 -0.108
           3218	 -0.038	 -0.145	 -0.108	  0.090	  0.035	 -0.125	  0.000	 -0.125	 -0.205	 -0.253	 -0.170	 -0.108
           3219	 -0.033	 -0.148	 -0.113	  0.090	  0.040	 -0.130	 -0.005	 -0.120	 -0.210	 -0.253	 -0.165	 -0.105
           3220	 -0.030	 -0.145	 -0.115	  0.088	  0.043	 -0.130	 -0.005	 -0.118	 -0.213	 -0.253	 -0.163	 -0.105
           3221	 -0.030	 -0.143	 -0.113	  0.085	  0.040	 -0.128	 -0.003	 -0.120	 -0.210	 -0.255	 -0.163	 -0.108
           3222	 -0.030	 -0.138	 -0.108	  0.083	  0.038	 -0.123	  0.003	 -0.123	 -0.205	 -0.258	 -0.163	 -0.108
           3223	 -0.030	 -0.135	 -0.105	  0.080	  0.035	 -0.120	  0.005	 -0.120	 -0.200	 -0.258	 -0.163	 -0.105
           3224	 -0.030	 -0.138	 -0.108	  0.083	  0.038	 -0.123	  0.003	 -0.115	 -0.198	 -0.258	 -0.163	 -0.103
           3225	 -0.033	 -0.143	 -0.110	  0.088	  0.038	 -0.125	 -0.003	 -0.118	 -0.200	 -0.255	 -0.165	 -0.105
           3226	 -0.035	 -0.145	 -0.110	  0.090	  0.038	 -0.128	 -0.003	 -0.123	 -0.203	 -0.255	 -0.168	 -0.108
           3227	 -0.038	 -0.148	 -0.108	  0.093	  0.035	 -0.128	  0.003	 -0.123	 -0.203	 -0.255	 -0.165	 -0.105
           3228	 -0.038	 -0.145	 -0.108	  0.090	  0.035	 -0.125	  0.010	 -0.118	 -0.203	 -0.253	 -0.165	 -0.103
           3229	 -0.035	 -0.143	 -0.110	  0.088	  0.038	 -0.125	  0.010	 -0.120	 -0.205	 -0.253	 -0.168	 -0.105
           3230	 -0.030	 -0.143	 -0.113	  0.085	  0.040	 -0.128	  0.005	 -0.128	 -0.208	 -0.258	 -0.173	 -0.113
           3231	 -0.028	 -0.143	 -0.115	  0.083	  0.043	 -0.128	  0.003	 -0.130	 -0.210	 -0.260	 -0.175	 -0.115
           3232	 -0.030	 -0.143	 -0.113	  0.085	  0.040	 -0.128	  0.005	 -0.120	 -0.208	 -0.258	 -0.173	 -0.110
           3233	 -0.038	 -0.148	 -0.110	  0.090	  0.035	 -0.128	  0.010	 -0.113	 -0.203	 -0.253	 -0.170	 -0.105
           3234	 -0.043	 -0.153	 -0.110	  0.098	  0.033	 -0.130	  0.010	 -0.113	 -0.200	 -0.250	 -0.168	 -0.105
           3235	 -0.043	 -0.155	 -0.113	  0.100	  0.033	 -0.133	  0.010	 -0.118	 -0.200	 -0.250	 -0.168	 -0.103
           3236	 -0.040	 -0.153	 -0.113	  0.095	  0.035	 -0.133	  0.010	 -0.115	 -0.200	 -0.250	 -0.168	 -0.100
           3237	 -0.035	 -0.148	 -0.113	  0.090	  0.038	 -0.130	  0.013	 -0.108	 -0.200	 -0.248	 -0.168	 -0.103
           3238	 -0.033	 -0.145	 -0.113	  0.088	  0.040	 -0.128	  0.013	 -0.108	 -0.200	 -0.248	 -0.165	 -0.110
           3239	 -0.028	 -0.143	 -0.113	  0.085	  0.043	 -0.125	  0.013	 -0.115	 -0.198	 -0.250	 -0.163	 -0.118
           3240	 -0.023	 -0.138	 -0.115	  0.080	  0.045	 -0.125	  0.015	 -0.120	 -0.198	 -0.253	 -0.160	 -0.115
           3241	 -0.020	 -0.135	 -0.115	  0.078	  0.048	 -0.125	  0.018	 -0.118	 -0.195	 -0.250	 -0.160	 -0.110
           3242	 -0.023	 -0.138	 -0.115	  0.080	  0.045	 -0.125	  0.015	 -0.113	 -0.193	 -0.245	 -0.158	 -0.105
           3243	 -0.030	 -0.140	 -0.110	  0.085	  0.038	 -0.125	  0.013	 -0.110	 -0.188	 -0.243	 -0.155	 -0.103
           3244	 -0.035	 -0.138	 -0.103	  0.085	  0.033	 -0.120	  0.015	 -0.108	 -0.183	 -0.243	 -0.153	 -0.100
           3245	 -0.035	 -0.133	 -0.098	  0.083	  0.033	 -0.115	  0.020	 -0.105	 -0.183	 -0.240	 -0.155	 -0.098
           3246	 -0.030	 -0.130	 -0.100	  0.080	  0.035	 -0.115	  0.020	 -0.100	 -0.185	 -0.238	 -0.155	 -0.098
           3247	 -0.028	 -0.130	 -0.103	  0.078	  0.038	 -0.118	  0.020	 -0.095	 -0.188	 -0.238	 -0.153	 -0.100
           3248	 -0.025	 -0.128	 -0.103	  0.075	  0.038	 -0.115	  0.020	 -0.095	 -0.185	 -0.240	 -0.150	 -0.098
           3249	 -0.023	 -0.123	 -0.098	  0.070	  0.038	 -0.110	  0.023	 -0.095	 -0.183	 -0.238	 -0.153	 -0.093
           3250	 -0.023	 -0.115	 -0.093	  0.068	  0.035	 -0.103	  0.023	 -0.095	 -0.183	 -0.235	 -0.158	 -0.090
           3251	 -0.023	 -0.110	 -0.090	  0.065	  0.033	 -0.100	  0.020	 -0.095	 -0.183	 -0.233	 -0.158	 -0.090
           3252	 -0.020	 -0.108	 -0.088	  0.063	  0.033	 -0.098	  0.018	 -0.095	 -0.180	 -0.233	 -0.150	 -0.090
           3253	 -0.018	 -0.105	 -0.088	  0.060	  0.033	 -0.095	  0.020	 -0.095	 -0.178	 -0.230	 -0.145	 -0.090
           3254	 -0.015	 -0.103	 -0.088	  0.058	  0.035	 -0.095	  0.020	 -0.098	 -0.178	 -0.228	 -0.148	 -0.090
           3255	 -0.013	 -0.098	 -0.088	  0.055	  0.038	 -0.093	  0.020	 -0.098	 -0.180	 -0.225	 -0.150	 -0.095
           3256	 -0.010	 -0.093	 -0.083	  0.050	  0.035	 -0.088	  0.023	 -0.093	 -0.178	 -0.225	 -0.145	 -0.098
           3257	 -0.013	 -0.085	 -0.073	  0.048	  0.028	 -0.080	  0.030	 -0.085	 -0.173	 -0.223	 -0.138	 -0.095
           3258	 -0.020	 -0.083	 -0.063	  0.050	  0.020	 -0.073	  0.038	 -0.083	 -0.170	 -0.218	 -0.135	 -0.090
           3259	 -0.023	 -0.080	 -0.055	  0.050	  0.015	 -0.068	  0.040	 -0.083	 -0.173	 -0.218	 -0.138	 -0.085
           3260	 -0.023	 -0.075	 -0.053	  0.048	  0.015	 -0.063	  0.040	 -0.085	 -0.173	 -0.218	 -0.135	 -0.080
           3261	 -0.020	 -0.073	 -0.050	  0.045	  0.015	 -0.060	  0.048	 -0.083	 -0.163	 -0.215	 -0.128	 -0.078
           3262	 -0.023	 -0.073	 -0.050	  0.048	  0.013	 -0.060	  0.055	 -0.078	 -0.153	 -0.210	 -0.125	 -0.075
           3263	 -0.023	 -0.073	 -0.050	  0.048	  0.013	 -0.060	  0.058	 -0.075	 -0.150	 -0.208	 -0.128	 -0.075
           3264	 -0.018	 -0.068	 -0.050	  0.043	  0.015	 -0.058	  0.055	 -0.075	 -0.153	 -0.213	 -0.133	 -0.078
           3265	 -0.013	 -0.060	 -0.048	  0.038	  0.018	 -0.053	  0.058	 -0.078	 -0.155	 -0.215	 -0.130	 -0.083
           3266	 -0.015	 -0.060	 -0.045	  0.038	  0.015	 -0.053	  0.068	 -0.075	 -0.153	 -0.210	 -0.123	 -0.083
           3267	 -0.023	 -0.065	 -0.043	  0.043	  0.010	 -0.053	  0.075	 -0.073	 -0.150	 -0.208	 -0.123	 -0.078
           3268	 -0.025	 -0.063	 -0.038	  0.043	  0.005	 -0.050	  0.075	 -0.070	 -0.148	 -0.208	 -0.128	 -0.073
           3269	 -0.020	 -0.053	 -0.033	  0.035	  0.005	 -0.043	  0.073	 -0.068	 -0.143	 -0.208	 -0.130	 -0.070
           3270	 -0.018	 -0.045	 -0.028	  0.030	  0.005	 -0.035	  0.073	 -0.063	 -0.135	 -0.200	 -0.123	 -0.070
           3271	 -0.018	 -0.043	 -0.025	  0.028	  0.005	 -0.033	  0.073	 -0.055	 -0.133	 -0.193	 -0.115	 -0.070
           3272	 -0.013	 -0.038	 -0.025	  0.025	  0.005	 -0.030	  0.065	 -0.050	 -0.135	 -0.190	 -0.115	 -0.070
           3273	 -0.005	 -0.030	 -0.028	  0.018	  0.010	 -0.028	  0.058	 -0.048	 -0.138	 -0.193	 -0.123	 -0.070
           3274	  0.000	 -0.028	 -0.028	  0.013	  0.013	 -0.028	  0.055	 -0.048	 -0.135	 -0.193	 -0.125	 -0.070
           3275	 -0.005	 -0.030	 -0.025	  0.015	  0.010	 -0.025	  0.058	 -0.045	 -0.128	 -0.185	 -0.120	 -0.063
           3276	 -0.013	 -0.030	 -0.018	  0.020	  0.003	 -0.023	  0.055	 -0.043	 -0.123	 -0.180	 -0.110	 -0.055
           3277	 -0.013	 -0.025	 -0.013	  0.018	  0.000	 -0.018	  0.048	 -0.045	 -0.120	 -0.178	 -0.105	 -0.050
           3278	 -0.008	 -0.015	 -0.008	  0.010	  0.000	 -0.010	  0.035	 -0.050	 -0.118	 -0.178	 -0.100	 -0.050
           3279	 -0.005	 -0.008	 -0.005	  0.005	  0.000	 -0.005	  0.020	 -0.055	 -0.118	 -0.175	 -0.095	 -0.050
           3280	 -0.003	 -0.005	 -0.003	  0.003	  0.000	 -0.003	  0.003	 -0.063	 -0.120	 -0.173	 -0.093	 -0.045
           3281	  0.003	 -0.005	 -0.005	  0.000	  0.003	 -0.005	 -0.015	 -0.070	 -0.128	 -0.173	 -0.093	 -0.040
           3282	  0.005	 -0.008	 -0.013	  0.000	  0.008	 -0.010	 -0.020	 -0.078	 -0.130	 -0.170	 -0.093	 -0.038
           3283	  0.005	 -0.010	 -0.015	  0.003	  0.008	 -0.013	 -0.015	 -0.080	 -0.130	 -0.170	 -0.093	 -0.038
           3284	  0.003	 -0.008	 -0.010	  0.003	  0.005	 -0.008	 -0.013	 -0.085	 -0.130	 -0.170	 -0.093	 -0.038
           3285	  0.005	  0.000	 -0.005	 -0.003	  0.005	 -0.003	 -0.018	 -0.093	 -0.135	 -0.170	 -0.093	 -0.040
           3286	  0.010	  0.003	 -0.008	 -0.005	  0.008	 -0.003	 -0.023	 -0.098	 -0.138	 -0.168	 -0.093	 -0.045
           3287	  0.008	 -0.003	 -0.010	 -0.003	  0.008	 -0.008	 -0.020	 -0.095	 -0.133	 -0.163	 -0.090	 -0.045
           3288	  0.003	 -0.008	 -0.010	  0.003	  0.005	 -0.008	 -0.013	 -0.088	 -0.128	 -0.165	 -0.088	 -0.040
           3289	  0.003	 -0.003	 -0.005	  0.003	  0.005	 -0.003	 -0.010	 -0.085	 -0.128	 -0.170	 -0.090	 -0.035
           3290	  0.008	  0.000	 -0.008	 -0.003	  0.008	 -0.003	 -0.013	 -0.088	 -0.133	 -0.173	 -0.095	 -0.038
           3291	  0.008	 -0.005	 -0.015	  0.000	  0.010	 -0.010	 -0.008	 -0.085	 -0.135	 -0.168	 -0.098	 -0.043
           3292	  0.003	 -0.015	 -0.018	  0.005	  0.010	 -0.015	  0.003	 -0.080	 -0.133	 -0.165	 -0.095	 -0.045
           3293	 -0.003	 -0.018	 -0.015	  0.008	  0.008	 -0.015	  0.010	 -0.078	 -0.130	 -0.168	 -0.093	 -0.045
           3294	 -0.003	 -0.015	 -0.013	  0.008	  0.005	 -0.013	  0.008	 -0.078	 -0.128	 -0.168	 -0.090	 -0.043
           3295	 -0.003	 -0.018	 -0.015	  0.010	  0.005	 -0.018	  0.008	 -0.075	 -0.125	 -0.163	 -0.085	 -0.040
           3296	 -0.005	 -0.028	 -0.023	  0.015	  0.008	 -0.025	  0.015	 -0.070	 -0.120	 -0.160	 -0.083	 -0.035
           3297	 -0.003	 -0.030	 -0.028	  0.015	  0.013	 -0.028	  0.023	 -0.068	 -0.118	 -0.165	 -0.085	 -0.033
           3298	  0.008	 -0.025	 -0.033	  0.008	  0.020	 -0.028	  0.023	 -0.073	 -0.123	 -0.173	 -0.093	 -0.040
           3299	  0.013	 -0.023	 -0.035	  0.005	  0.023	 -0.028	  0.018	 -0.078	 -0.128	 -0.173	 -0.098	 -0.050
           3300	  0.008	 -0.028	 -0.035	  0.010	  0.020	 -0.030	  0.018	 -0.070	 -0.123	 -0.168	 -0.093	 -0.050
           3301	  0.003	 -0.035	 -0.038	  0.015	  0.018	 -0.035	  0.025	 -0.055	 -0.115	 -0.163	 -0.085	 -0.043
           3302	  0.005	 -0.038	 -0.043	  0.015	  0.023	 -0.040	  0.028	 -0.050	 -0.113	 -0.165	 -0.083	 -0.038
           3303	  0.008	 -0.040	 -0.048	  0.015	  0.028	 -0.045	  0.023	 -0.058	 -0.120	 -0.170	 -0.088	 -0.040
           3304	  0.003	 -0.048	 -0.050	  0.023	  0.025	 -0.048	  0.018	 -0.068	 -0.130	 -0.170	 -0.093	 -0.043
           3305	 -0.008	 -0.055	 -0.048	  0.030	  0.020	 -0.048	  0.015	 -0.073	 -0.135	 -0.170	 -0.095	 -0.040
           3306	 -0.008	 -0.055	 -0.048	  0.030	  0.020	 -0.050	  0.015	 -0.070	 -0.133	 -0.170	 -0.095	 -0.035
           3307	 -0.003	 -0.053	 -0.053	  0.025	  0.025	 -0.053	  0.010	 -0.073	 -0.133	 -0.173	 -0.093	 -0.035
           3308	  0.000	 -0.053	 -0.053	  0.025	  0.025	 -0.053	  0.008	 -0.078	 -0.135	 -0.170	 -0.090	 -0.040
           3309	 -0.005	 -0.053	 -0.048	  0.028	  0.020	 -0.048	  0.008	 -0.083	 -0.140	 -0.170	 -0.093	 -0.043
           3310	 -0.008	 -0.050	 -0.043	  0.028	  0.018	 -0.045	  0.013	 -0.080	 -0.138	 -0.173	 -0.093	 -0.043
           3311	 -0.010	 -0.053	 -0.043	  0.030	  0.018	 -0.048	  0.018	 -0.073	 -0.135	 -0.175	 -0.093	 -0.043
           3312	 -0.010	 -0.058	 -0.048	  0.033	  0.018	 -0.053	  0.020	 -0.065	 -0.125	 -0.173	 -0.088	 -0.043
           3313	 -0.013	 -0.063	 -0.050	  0.038	  0.018	 -0.055	  0.020	 -0.068	 -0.128	 -0.170	 -0.088	 -0.045
           3314	 -0.013	 -0.060	 -0.048	  0.035	  0.018	 -0.053	  0.018	 -0.075	 -0.130	 -0.170	 -0.090	 -0.048
           3315	 -0.010	 -0.063	 -0.050	  0.035	  0.020	 -0.055	  0.013	 -0.085	 -0.143	 -0.180	 -0.095	 -0.050
           3316	 -0.010	 -0.068	 -0.058	  0.038	  0.023	 -0.063	  0.010	 -0.083	 -0.143	 -0.185	 -0.095	 -0.050
           3317	 -0.010	 -0.078	 -0.068	  0.045	  0.028	 -0.073	  0.008	 -0.083	 -0.148	 -0.193	 -0.103	 -0.053
           3318	 -0.008	 -0.083	 -0.075	  0.045	  0.033	 -0.078	  0.005	 -0.088	 -0.150	 -0.190	 -0.108	 -0.055
           3319	 -0.005	 -0.090	 -0.085	  0.048	  0.040	 -0.088	 -0.003	 -0.098	 -0.160	 -0.203	 -0.120	 -0.063
           3320	 -0.008	 -0.098	 -0.090	  0.053	  0.040	 -0.093	 -0.008	 -0.108	 -0.168	 -0.208	 -0.120	 -0.065
           3321	 -0.010	 -0.110	 -0.098	  0.060	  0.043	 -0.105	 -0.005	 -0.108	 -0.175	 -0.220	 -0.128	 -0.075
           3322	 -0.010	 -0.110	 -0.100	  0.060	  0.045	 -0.105	 -0.003	 -0.110	 -0.175	 -0.215	 -0.125	 -0.075
           3323	 -0.008	 -0.115	 -0.108	  0.060	  0.053	 -0.110	  0.000	 -0.110	 -0.178	 -0.220	 -0.133	 -0.078
           3324	 -0.008	 -0.115	 -0.108	  0.060	  0.050	 -0.110	 -0.003	 -0.115	 -0.180	 -0.220	 -0.133	 -0.075
