sample interval	      I	     II	    III	    AVR	    AVL	    AVF	     V1	     V2	     V3	     V4	     V5	     V6
    (0.001 sec)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
              0	  0.080	  0.260	  0.180	 -0.170	 -0.050	  0.220	  0.010	  0.330	  0.488	  0.505	  0.323	  0.215
              1	  0.075	  0.255	  0.180	 -0.165	 -0.050	  0.218	  0.010	  0.325	  0.483	  0.495	  0.320	  0.215
              2	  0.070	  0.248	  0.178	 -0.158	 -0.053	  0.213	  0.010	  0.315	  0.465	  0.473	  0.308	  0.210
              3	  0.073	  0.245	  0.175	 -0.158	 -0.050	  0.210	  0.008	  0.303	  0.435	  0.448	  0.288	  0.195
              4	  0.075	  0.248	  0.173	 -0.160	 -0.048	  0.210	  0.005	  0.298	  0.423	  0.438	  0.278	  0.185
              5	  0.073	  0.240	  0.168	 -0.155	 -0.048	  0.203	  0.000	  0.298	  0.423	  0.433	  0.278	  0.185
              6	  0.063	  0.223	  0.160	 -0.143	 -0.048	  0.190	 -0.003	  0.290	  0.413	  0.415	  0.270	  0.183
              7	  0.058	  0.213	  0.155	 -0.135	 -0.048	  0.183	  0.000	  0.278	  0.398	  0.395	  0.258	  0.170
              8	  0.060	  0.213	  0.153	 -0.135	 -0.045	  0.183	  0.005	  0.273	  0.388	  0.390	  0.250	  0.163
              9	  0.063	  0.213	  0.150	 -0.138	 -0.043	  0.183	  0.008	  0.270	  0.380	  0.388	  0.243	  0.160
             10	  0.058	  0.203	  0.145	 -0.130	 -0.043	  0.173	  0.013	  0.263	  0.363	  0.368	  0.230	  0.160
             11	  0.053	  0.193	  0.140	 -0.123	 -0.043	  0.165	  0.018	  0.250	  0.345	  0.343	  0.218	  0.158
             12	  0.053	  0.193	  0.140	 -0.123	 -0.043	  0.165	  0.018	  0.243	  0.335	  0.330	  0.210	  0.150
             13	  0.055	  0.193	  0.138	 -0.123	 -0.040	  0.163	  0.015	  0.235	  0.325	  0.323	  0.203	  0.140
             14	  0.053	  0.180	  0.128	 -0.115	 -0.038	  0.153	  0.013	  0.223	  0.308	  0.303	  0.188	  0.128
             15	  0.045	  0.165	  0.120	 -0.105	 -0.038	  0.143	  0.015	  0.215	  0.295	  0.285	  0.175	  0.123
             16	  0.040	  0.160	  0.120	 -0.100	 -0.040	  0.140	  0.015	  0.213	  0.293	  0.280	  0.170	  0.128
             17	  0.040	  0.160	  0.120	 -0.098	 -0.040	  0.140	  0.013	  0.208	  0.288	  0.270	  0.165	  0.125
             18	  0.038	  0.150	  0.113	 -0.093	 -0.038	  0.130	  0.010	  0.193	  0.265	  0.243	  0.153	  0.110
             19	  0.035	  0.140	  0.105	 -0.088	 -0.035	  0.120	  0.013	  0.180	  0.245	  0.220	  0.143	  0.095
             20	  0.033	  0.138	  0.105	 -0.085	 -0.035	  0.120	  0.018	  0.180	  0.240	  0.220	  0.140	  0.095
             21	  0.033	  0.138	  0.105	 -0.085	 -0.035	  0.120	  0.018	  0.178	  0.233	  0.218	  0.133	  0.100
             22	  0.033	  0.128	  0.095	 -0.080	 -0.030	  0.110	  0.013	  0.165	  0.213	  0.195	  0.113	  0.093
             23	  0.033	  0.115	  0.083	 -0.073	 -0.025	  0.098	  0.010	  0.153	  0.195	  0.170	  0.098	  0.075
             24	  0.028	  0.108	  0.080	 -0.068	 -0.025	  0.093	  0.013	  0.150	  0.198	  0.163	  0.098	  0.068
             25	  0.020	  0.100	  0.083	 -0.060	 -0.030	  0.090	  0.020	  0.148	  0.198	  0.163	  0.098	  0.070
             26	  0.013	  0.090	  0.078	 -0.050	 -0.033	  0.083	  0.025	  0.138	  0.180	  0.145	  0.085	  0.068
             27	  0.015	  0.083	  0.068	 -0.048	 -0.028	  0.075	  0.023	  0.128	  0.158	  0.125	  0.068	  0.058
             28	  0.020	  0.080	  0.060	 -0.050	 -0.020	  0.070	  0.018	  0.125	  0.150	  0.115	  0.060	  0.045
             29	  0.020	  0.075	  0.053	 -0.048	 -0.015	  0.063	  0.015	  0.123	  0.148	  0.110	  0.055	  0.040
             30	  0.015	  0.060	  0.045	 -0.038	 -0.015	  0.053	  0.018	  0.110	  0.135	  0.093	  0.045	  0.038
             31	  0.008	  0.048	  0.040	 -0.028	 -0.015	  0.045	  0.023	  0.098	  0.120	  0.075	  0.040	  0.035
             32	  0.005	  0.045	  0.040	 -0.025	 -0.018	  0.043	  0.028	  0.098	  0.115	  0.073	  0.040	  0.033
             33	  0.003	  0.043	  0.040	 -0.023	 -0.018	  0.040	  0.028	  0.103	  0.113	  0.070	  0.035	  0.030
             34	  0.000	  0.033	  0.033	 -0.015	 -0.015	  0.033	  0.025	  0.095	  0.098	  0.055	  0.023	  0.025
             35	  0.003	  0.025	  0.025	 -0.013	 -0.010	  0.025	  0.025	  0.080	  0.080	  0.035	  0.010	  0.023
             36	  0.005	  0.028	  0.023	 -0.015	 -0.008	  0.025	  0.025	  0.070	  0.073	  0.025	  0.010	  0.020
             37	  0.005	  0.028	  0.023	 -0.018	 -0.008	  0.023	  0.028	  0.065	  0.068	  0.023	  0.010	  0.018
             38	  0.003	  0.018	  0.015	 -0.010	 -0.005	  0.015	  0.028	  0.060	  0.055	  0.015	  0.003	  0.010
             39	  0.003	  0.005	  0.005	 -0.003	  0.000	  0.005	  0.028	  0.053	  0.045	  0.005	 -0.005	  0.005
             40	  0.003	  0.000	 -0.003	  0.000	  0.003	  0.000	  0.025	  0.050	  0.048	 -0.003	 -0.008	  0.005
             41	  0.000	 -0.003	 -0.003	  0.003	  0.003	 -0.003	  0.025	  0.048	  0.050	 -0.008	 -0.010	  0.005
             42	 -0.008	 -0.010	 -0.003	  0.008	 -0.003	 -0.005	  0.028	  0.043	  0.040	 -0.018	 -0.018	 -0.003
             43	 -0.013	 -0.018	 -0.003	  0.013	 -0.005	 -0.010	  0.030	  0.038	  0.028	 -0.025	 -0.025	 -0.010
             44	 -0.013	 -0.018	 -0.005	  0.015	 -0.003	 -0.010	  0.033	  0.038	  0.020	 -0.030	 -0.030	 -0.015
             45	 -0.010	 -0.018	 -0.008	  0.015	  0.000	 -0.013	  0.033	  0.035	  0.018	 -0.038	 -0.035	 -0.018
             46	 -0.013	 -0.023	 -0.010	  0.018	  0.000	 -0.015	  0.030	  0.025	  0.010	 -0.050	 -0.043	 -0.020
             47	 -0.015	 -0.028	 -0.010	  0.020	 -0.003	 -0.018	  0.030	  0.018	  0.003	 -0.058	 -0.048	 -0.023
             48	 -0.018	 -0.030	 -0.013	  0.023	 -0.003	 -0.020	  0.033	  0.015	  0.000	 -0.060	 -0.045	 -0.023
             49	 -0.018	 -0.035	 -0.018	  0.025	  0.000	 -0.025	  0.035	  0.015	 -0.008	 -0.068	 -0.048	 -0.025
             50	 -0.018	 -0.043	 -0.025	  0.030	  0.003	 -0.033	  0.033	  0.010	 -0.020	 -0.080	 -0.058	 -0.030
             51	 -0.018	 -0.045	 -0.028	  0.030	  0.003	 -0.035	  0.028	  0.005	 -0.028	 -0.088	 -0.065	 -0.035
             52	 -0.015	 -0.043	 -0.028	  0.028	  0.005	 -0.035	  0.023	  0.005	 -0.030	 -0.088	 -0.068	 -0.040
             53	 -0.010	 -0.043	 -0.033	  0.025	  0.010	 -0.038	  0.020	  0.003	 -0.035	 -0.088	 -0.068	 -0.043
             54	 -0.010	 -0.050	 -0.040	  0.030	  0.015	 -0.045	  0.025	 -0.005	 -0.048	 -0.095	 -0.073	 -0.048
             55	 -0.013	 -0.058	 -0.045	  0.035	  0.015	 -0.050	  0.030	 -0.010	 -0.055	 -0.103	 -0.075	 -0.048
             56	 -0.018	 -0.060	 -0.043	  0.038	  0.013	 -0.050	  0.035	 -0.005	 -0.050	 -0.103	 -0.073	 -0.045
             57	 -0.023	 -0.063	 -0.043	  0.040	  0.010	 -0.053	  0.035	  0.000	 -0.050	 -0.105	 -0.073	 -0.045
             58	 -0.023	 -0.070	 -0.048	  0.045	  0.013	 -0.058	  0.033	 -0.008	 -0.060	 -0.113	 -0.080	 -0.048
             59	 -0.020	 -0.073	 -0.050	  0.045	  0.015	 -0.060	  0.035	 -0.020	 -0.070	 -0.118	 -0.085	 -0.050
             60	 -0.020	 -0.068	 -0.048	  0.043	  0.013	 -0.058	  0.038	 -0.025	 -0.068	 -0.115	 -0.083	 -0.050
             61	 -0.023	 -0.068	 -0.045	  0.043	  0.013	 -0.058	  0.038	 -0.020	 -0.065	 -0.118	 -0.080	 -0.050
             62	 -0.025	 -0.075	 -0.050	  0.050	  0.013	 -0.063	  0.033	 -0.020	 -0.070	 -0.125	 -0.085	 -0.053
             63	 -0.028	 -0.083	 -0.055	  0.055	  0.013	 -0.068	  0.028	 -0.025	 -0.078	 -0.133	 -0.090	 -0.055
             64	 -0.028	 -0.083	 -0.055	  0.055	  0.013	 -0.068	  0.028	 -0.030	 -0.075	 -0.133	 -0.093	 -0.053
             65	 -0.025	 -0.083	 -0.058	  0.053	  0.015	 -0.068	  0.030	 -0.030	 -0.073	 -0.133	 -0.095	 -0.053
             66	 -0.023	 -0.088	 -0.065	  0.055	  0.020	 -0.075	  0.028	 -0.033	 -0.083	 -0.140	 -0.105	 -0.058
             67	 -0.023	 -0.093	 -0.070	  0.058	  0.023	 -0.080	  0.025	 -0.038	 -0.095	 -0.145	 -0.113	 -0.065
             68	 -0.023	 -0.088	 -0.065	  0.055	  0.020	 -0.075	  0.028	 -0.040	 -0.098	 -0.145	 -0.110	 -0.065
             69	 -0.025	 -0.080	 -0.055	  0.053	  0.015	 -0.068	  0.035	 -0.040	 -0.090	 -0.148	 -0.108	 -0.063
             70	 -0.025	 -0.083	 -0.058	  0.053	  0.015	 -0.070	  0.038	 -0.043	 -0.088	 -0.155	 -0.110	 -0.063
             71	 -0.023	 -0.090	 -0.065	  0.055	  0.020	 -0.078	  0.035	 -0.043	 -0.088	 -0.158	 -0.113	 -0.063
             72	 -0.025	 -0.093	 -0.068	  0.058	  0.020	 -0.080	  0.030	 -0.040	 -0.085	 -0.153	 -0.108	 -0.060
             73	 -0.030	 -0.093	 -0.063	  0.060	  0.015	 -0.078	  0.030	 -0.035	 -0.083	 -0.148	 -0.100	 -0.060
             74	 -0.035	 -0.095	 -0.060	  0.065	  0.013	 -0.078	  0.035	 -0.038	 -0.090	 -0.150	 -0.103	 -0.065
             75	 -0.035	 -0.100	 -0.065	  0.068	  0.015	 -0.083	  0.038	 -0.043	 -0.098	 -0.155	 -0.110	 -0.068
             76	 -0.033	 -0.103	 -0.070	  0.068	  0.018	 -0.085	  0.035	 -0.043	 -0.098	 -0.158	 -0.113	 -0.065
             77	 -0.033	 -0.100	 -0.070	  0.065	  0.018	 -0.085	  0.030	 -0.035	 -0.095	 -0.160	 -0.110	 -0.060
             78	 -0.033	 -0.100	 -0.068	  0.065	  0.018	 -0.083	  0.028	 -0.033	 -0.098	 -0.165	 -0.110	 -0.065
             79	 -0.030	 -0.100	 -0.070	  0.065	  0.020	 -0.083	  0.030	 -0.038	 -0.103	 -0.168	 -0.115	 -0.073
             80	 -0.028	 -0.098	 -0.070	  0.063	  0.020	 -0.083	  0.033	 -0.043	 -0.100	 -0.165	 -0.118	 -0.075
             81	 -0.028	 -0.098	 -0.068	  0.063	  0.018	 -0.083	  0.035	 -0.043	 -0.095	 -0.163	 -0.118	 -0.070
             82	 -0.030	 -0.098	 -0.068	  0.063	  0.018	 -0.083	  0.033	 -0.043	 -0.100	 -0.163	 -0.118	 -0.068
             83	 -0.030	 -0.098	 -0.070	  0.063	  0.020	 -0.083	  0.033	 -0.045	 -0.113	 -0.163	 -0.118	 -0.068
             84	 -0.028	 -0.098	 -0.070	  0.063	  0.020	 -0.083	  0.033	 -0.045	 -0.113	 -0.163	 -0.118	 -0.068
             85	 -0.030	 -0.098	 -0.068	  0.065	  0.018	 -0.083	  0.035	 -0.040	 -0.100	 -0.165	 -0.118	 -0.065
             86	 -0.035	 -0.100	 -0.065	  0.068	  0.015	 -0.083	  0.035	 -0.035	 -0.093	 -0.170	 -0.118	 -0.065
             87	 -0.038	 -0.103	 -0.065	  0.068	  0.015	 -0.085	  0.035	 -0.035	 -0.095	 -0.173	 -0.118	 -0.070
             88	 -0.033	 -0.100	 -0.068	  0.065	  0.018	 -0.083	  0.035	 -0.043	 -0.100	 -0.170	 -0.120	 -0.073
             89	 -0.028	 -0.095	 -0.068	  0.060	  0.018	 -0.080	  0.035	 -0.050	 -0.100	 -0.170	 -0.123	 -0.070
             90	 -0.030	 -0.098	 -0.068	  0.063	  0.018	 -0.083	  0.035	 -0.048	 -0.100	 -0.173	 -0.123	 -0.068
             91	 -0.033	 -0.103	 -0.070	  0.068	  0.018	 -0.088	  0.035	 -0.043	 -0.098	 -0.173	 -0.120	 -0.068
             92	 -0.035	 -0.108	 -0.073	  0.070	  0.018	 -0.090	  0.038	 -0.040	 -0.095	 -0.168	 -0.115	 -0.068
             93	 -0.033	 -0.108	 -0.075	  0.070	  0.018	 -0.090	  0.040	 -0.043	 -0.093	 -0.165	 -0.113	 -0.068
             94	 -0.033	 -0.108	 -0.075	  0.070	  0.020	 -0.090	  0.038	 -0.040	 -0.095	 -0.168	 -0.115	 -0.070
             95	 -0.033	 -0.108	 -0.073	  0.070	  0.020	 -0.090	  0.035	 -0.035	 -0.100	 -0.168	 -0.115	 -0.073
             96	 -0.035	 -0.105	 -0.070	  0.070	  0.018	 -0.088	  0.035	 -0.030	 -0.098	 -0.163	 -0.113	 -0.070
             97	 -0.038	 -0.105	 -0.065	  0.073	  0.013	 -0.085	  0.038	 -0.033	 -0.090	 -0.158	 -0.115	 -0.065
             98	 -0.043	 -0.108	 -0.065	  0.075	  0.010	 -0.085	  0.038	 -0.038	 -0.088	 -0.160	 -0.120	 -0.065
             99	 -0.043	 -0.110	 -0.065	  0.075	  0.010	 -0.088	  0.035	 -0.035	 -0.088	 -0.165	 -0.120	 -0.070
            100	 -0.040	 -0.108	 -0.068	  0.073	  0.013	 -0.088	  0.033	 -0.030	 -0.090	 -0.168	 -0.113	 -0.075
            101	 -0.035	 -0.105	 -0.068	  0.068	  0.015	 -0.085	  0.030	 -0.028	 -0.093	 -0.170	 -0.110	 -0.075
            102	 -0.033	 -0.103	 -0.070	  0.068	  0.018	 -0.085	  0.028	 -0.033	 -0.095	 -0.173	 -0.115	 -0.073
            103	 -0.030	 -0.100	 -0.070	  0.068	  0.018	 -0.083	  0.030	 -0.030	 -0.093	 -0.165	 -0.118	 -0.070
            104	 -0.033	 -0.103	 -0.070	  0.068	  0.018	 -0.085	  0.035	 -0.028	 -0.093	 -0.163	 -0.118	 -0.070
            105	 -0.035	 -0.103	 -0.068	  0.068	  0.015	 -0.085	  0.038	 -0.023	 -0.088	 -0.158	 -0.115	 -0.065
            106	 -0.035	 -0.103	 -0.068	  0.068	  0.015	 -0.085	  0.035	 -0.025	 -0.088	 -0.160	 -0.118	 -0.063
            107	 -0.030	 -0.098	 -0.068	  0.065	  0.018	 -0.083	  0.030	 -0.030	 -0.085	 -0.160	 -0.118	 -0.063
            108	 -0.025	 -0.095	 -0.070	  0.060	  0.023	 -0.083	  0.025	 -0.035	 -0.085	 -0.163	 -0.118	 -0.073
            109	 -0.020	 -0.093	 -0.070	  0.055	  0.025	 -0.080	  0.025	 -0.035	 -0.080	 -0.163	 -0.115	 -0.080
            110	 -0.023	 -0.093	 -0.070	  0.058	  0.023	 -0.080	  0.025	 -0.035	 -0.083	 -0.163	 -0.118	 -0.080
            111	 -0.028	 -0.093	 -0.068	  0.060	  0.020	 -0.080	  0.028	 -0.033	 -0.088	 -0.158	 -0.118	 -0.073
            112	 -0.030	 -0.095	 -0.065	  0.063	  0.018	 -0.080	  0.030	 -0.030	 -0.090	 -0.160	 -0.115	 -0.070
            113	 -0.028	 -0.090	 -0.063	  0.060	  0.018	 -0.078	  0.030	 -0.028	 -0.085	 -0.163	 -0.110	 -0.070
            114	 -0.025	 -0.088	 -0.063	  0.055	  0.018	 -0.075	  0.028	 -0.028	 -0.083	 -0.165	 -0.113	 -0.073
            115	 -0.023	 -0.085	 -0.063	  0.053	  0.020	 -0.073	  0.023	 -0.028	 -0.085	 -0.160	 -0.113	 -0.073
            116	 -0.023	 -0.085	 -0.063	  0.053	  0.020	 -0.073	  0.020	 -0.030	 -0.090	 -0.155	 -0.110	 -0.073
            117	 -0.025	 -0.085	 -0.060	  0.055	  0.018	 -0.073	  0.025	 -0.030	 -0.085	 -0.153	 -0.108	 -0.068
            118	 -0.028	 -0.088	 -0.060	  0.058	  0.015	 -0.073	  0.030	 -0.030	 -0.078	 -0.153	 -0.110	 -0.065
            119	 -0.025	 -0.088	 -0.063	  0.058	  0.015	 -0.073	  0.030	 -0.025	 -0.073	 -0.150	 -0.113	 -0.063
            120	 -0.023	 -0.088	 -0.065	  0.055	  0.020	 -0.075	  0.028	 -0.025	 -0.073	 -0.150	 -0.113	 -0.068
            121	 -0.023	 -0.085	 -0.063	  0.053	  0.020	 -0.073	  0.025	 -0.025	 -0.068	 -0.150	 -0.105	 -0.070
            122	 -0.025	 -0.085	 -0.060	  0.055	  0.018	 -0.073	  0.025	 -0.025	 -0.063	 -0.153	 -0.103	 -0.070
            123	 -0.028	 -0.085	 -0.058	  0.058	  0.015	 -0.070	  0.025	 -0.018	 -0.058	 -0.145	 -0.100	 -0.063
            124	 -0.028	 -0.088	 -0.060	  0.058	  0.015	 -0.073	  0.025	 -0.013	 -0.063	 -0.143	 -0.103	 -0.058
            125	 -0.023	 -0.085	 -0.060	  0.053	  0.018	 -0.073	  0.025	 -0.015	 -0.065	 -0.145	 -0.103	 -0.058
            126	 -0.020	 -0.080	 -0.060	  0.050	  0.020	 -0.070	  0.023	 -0.025	 -0.068	 -0.155	 -0.108	 -0.063
            127	 -0.018	 -0.078	 -0.060	  0.048	  0.020	 -0.070	  0.023	 -0.025	 -0.065	 -0.153	 -0.110	 -0.065
            128	 -0.018	 -0.083	 -0.065	  0.050	  0.023	 -0.073	  0.023	 -0.015	 -0.065	 -0.148	 -0.108	 -0.063
            129	 -0.018	 -0.085	 -0.068	  0.050	  0.025	 -0.075	  0.025	 -0.005	 -0.063	 -0.143	 -0.100	 -0.060
            130	 -0.018	 -0.085	 -0.068	  0.050	  0.025	 -0.075	  0.025	 -0.005	 -0.065	 -0.145	 -0.100	 -0.060
            131	 -0.018	 -0.083	 -0.065	  0.048	  0.023	 -0.073	  0.023	 -0.010	 -0.065	 -0.143	 -0.103	 -0.060
            132	 -0.020	 -0.083	 -0.063	  0.050	  0.020	 -0.073	  0.023	 -0.015	 -0.065	 -0.138	 -0.105	 -0.060
            133	 -0.020	 -0.083	 -0.060	  0.050	  0.020	 -0.073	  0.028	 -0.015	 -0.063	 -0.135	 -0.103	 -0.058
            134	 -0.020	 -0.080	 -0.060	  0.050	  0.020	 -0.070	  0.030	 -0.018	 -0.063	 -0.140	 -0.100	 -0.060
            135	 -0.018	 -0.078	 -0.060	  0.048	  0.020	 -0.068	  0.028	 -0.023	 -0.065	 -0.143	 -0.100	 -0.063
            136	 -0.018	 -0.078	 -0.060	  0.048	  0.020	 -0.068	  0.020	 -0.023	 -0.068	 -0.143	 -0.103	 -0.065
            137	 -0.020	 -0.080	 -0.060	  0.050	  0.020	 -0.070	  0.018	 -0.015	 -0.063	 -0.138	 -0.100	 -0.063
            138	 -0.020	 -0.080	 -0.060	  0.050	  0.020	 -0.070	  0.020	 -0.013	 -0.058	 -0.140	 -0.103	 -0.063
            139	 -0.018	 -0.075	 -0.058	  0.048	  0.020	 -0.068	  0.020	 -0.015	 -0.058	 -0.143	 -0.108	 -0.063
            140	 -0.015	 -0.075	 -0.060	  0.045	  0.023	 -0.068	  0.018	 -0.018	 -0.063	 -0.145	 -0.108	 -0.060
            141	 -0.015	 -0.078	 -0.065	  0.045	  0.023	 -0.070	  0.018	 -0.018	 -0.063	 -0.143	 -0.100	 -0.058
            142	 -0.015	 -0.083	 -0.068	  0.048	  0.025	 -0.075	  0.020	 -0.015	 -0.060	 -0.140	 -0.095	 -0.058
            143	 -0.015	 -0.083	 -0.068	  0.048	  0.025	 -0.075	  0.025	 -0.015	 -0.060	 -0.135	 -0.095	 -0.058
            144	 -0.018	 -0.083	 -0.065	  0.050	  0.023	 -0.073	  0.025	 -0.013	 -0.060	 -0.133	 -0.100	 -0.055
            145	 -0.020	 -0.083	 -0.063	  0.053	  0.018	 -0.070	  0.025	 -0.010	 -0.055	 -0.133	 -0.100	 -0.053
            146	 -0.023	 -0.083	 -0.060	  0.053	  0.018	 -0.070	  0.023	 -0.010	 -0.050	 -0.140	 -0.103	 -0.055
            147	 -0.020	 -0.080	 -0.060	  0.050	  0.020	 -0.070	  0.020	 -0.013	 -0.050	 -0.145	 -0.108	 -0.060
            148	 -0.018	 -0.080	 -0.063	  0.048	  0.023	 -0.070	  0.020	 -0.013	 -0.053	 -0.145	 -0.113	 -0.063
            149	 -0.018	 -0.080	 -0.065	  0.048	  0.023	 -0.073	  0.023	 -0.008	 -0.053	 -0.143	 -0.108	 -0.060
            150	 -0.018	 -0.083	 -0.065	  0.050	  0.023	 -0.073	  0.025	 -0.005	 -0.053	 -0.143	 -0.103	 -0.060
            151	 -0.015	 -0.080	 -0.063	  0.048	  0.023	 -0.070	  0.023	 -0.013	 -0.058	 -0.145	 -0.103	 -0.063
            152	 -0.013	 -0.075	 -0.063	  0.043	  0.025	 -0.068	  0.018	 -0.020	 -0.063	 -0.145	 -0.108	 -0.063
            153	 -0.015	 -0.075	 -0.060	  0.043	  0.023	 -0.068	  0.018	 -0.020	 -0.063	 -0.143	 -0.108	 -0.060
            154	 -0.023	 -0.080	 -0.058	  0.050	  0.018	 -0.068	  0.023	 -0.015	 -0.058	 -0.143	 -0.103	 -0.063
            155	 -0.030	 -0.083	 -0.053	  0.055	  0.013	 -0.068	  0.028	 -0.013	 -0.058	 -0.140	 -0.100	 -0.068
            156	 -0.030	 -0.080	 -0.050	  0.055	  0.010	 -0.065	  0.025	 -0.018	 -0.065	 -0.140	 -0.103	 -0.073
            157	 -0.028	 -0.078	 -0.050	  0.053	  0.010	 -0.065	  0.023	 -0.020	 -0.068	 -0.143	 -0.105	 -0.073
            158	 -0.025	 -0.078	 -0.053	  0.050	  0.013	 -0.065	  0.023	 -0.018	 -0.063	 -0.150	 -0.103	 -0.068
            159	 -0.025	 -0.078	 -0.053	  0.050	  0.013	 -0.065	  0.023	 -0.013	 -0.060	 -0.150	 -0.103	 -0.065
            160	 -0.023	 -0.075	 -0.053	  0.048	  0.015	 -0.063	  0.020	 -0.013	 -0.063	 -0.145	 -0.105	 -0.063
            161	 -0.018	 -0.073	 -0.055	  0.045	  0.018	 -0.063	  0.018	 -0.013	 -0.065	 -0.140	 -0.103	 -0.063
            162	 -0.015	 -0.075	 -0.060	  0.045	  0.023	 -0.068	  0.018	 -0.015	 -0.068	 -0.145	 -0.098	 -0.063
            163	 -0.015	 -0.078	 -0.063	  0.045	  0.025	 -0.070	  0.018	 -0.018	 -0.070	 -0.150	 -0.095	 -0.063
            164	 -0.015	 -0.075	 -0.060	  0.045	  0.023	 -0.068	  0.018	 -0.020	 -0.070	 -0.148	 -0.100	 -0.060
            165	 -0.018	 -0.075	 -0.058	  0.045	  0.020	 -0.065	  0.018	 -0.020	 -0.065	 -0.140	 -0.103	 -0.053
            166	 -0.018	 -0.078	 -0.060	  0.048	  0.020	 -0.068	  0.020	 -0.020	 -0.063	 -0.138	 -0.098	 -0.050
            167	 -0.015	 -0.080	 -0.065	  0.048	  0.023	 -0.070	  0.023	 -0.018	 -0.068	 -0.143	 -0.093	 -0.053
            168	 -0.013	 -0.078	 -0.065	  0.045	  0.025	 -0.070	  0.018	 -0.020	 -0.080	 -0.148	 -0.095	 -0.060
            169	 -0.013	 -0.075	 -0.060	  0.043	  0.023	 -0.068	  0.013	 -0.023	 -0.085	 -0.145	 -0.100	 -0.063
            170	 -0.015	 -0.078	 -0.063	  0.045	  0.023	 -0.070	  0.010	 -0.025	 -0.078	 -0.145	 -0.100	 -0.060
            171	 -0.015	 -0.085	 -0.070	  0.048	  0.028	 -0.078	  0.013	 -0.025	 -0.073	 -0.145	 -0.093	 -0.060
            172	 -0.010	 -0.085	 -0.075	  0.048	  0.033	 -0.080	  0.018	 -0.025	 -0.073	 -0.148	 -0.090	 -0.060
            173	 -0.008	 -0.078	 -0.070	  0.043	  0.033	 -0.075	  0.020	 -0.025	 -0.070	 -0.148	 -0.090	 -0.058
            174	 -0.010	 -0.075	 -0.065	  0.043	  0.028	 -0.070	  0.018	 -0.025	 -0.065	 -0.148	 -0.093	 -0.053
            175	 -0.013	 -0.080	 -0.065	  0.048	  0.025	 -0.073	  0.015	 -0.025	 -0.063	 -0.150	 -0.093	 -0.050
            176	 -0.015	 -0.085	 -0.070	  0.050	  0.028	 -0.078	  0.015	 -0.023	 -0.070	 -0.150	 -0.095	 -0.050
            177	 -0.015	 -0.083	 -0.068	  0.048	  0.025	 -0.075	  0.018	 -0.018	 -0.075	 -0.145	 -0.098	 -0.050
            178	 -0.015	 -0.078	 -0.063	  0.045	  0.023	 -0.070	  0.020	 -0.018	 -0.073	 -0.145	 -0.100	 -0.053
            179	 -0.015	 -0.078	 -0.060	  0.045	  0.023	 -0.068	  0.020	 -0.025	 -0.073	 -0.150	 -0.100	 -0.055
            180	 -0.015	 -0.080	 -0.065	  0.048	  0.025	 -0.073	  0.018	 -0.035	 -0.083	 -0.155	 -0.100	 -0.060
            181	 -0.015	 -0.083	 -0.068	  0.050	  0.028	 -0.075	  0.018	 -0.038	 -0.093	 -0.158	 -0.100	 -0.060
            182	 -0.015	 -0.080	 -0.065	  0.048	  0.025	 -0.073	  0.018	 -0.033	 -0.093	 -0.158	 -0.103	 -0.060
            183	 -0.015	 -0.078	 -0.065	  0.045	  0.025	 -0.070	  0.015	 -0.030	 -0.088	 -0.158	 -0.105	 -0.058
            184	 -0.013	 -0.080	 -0.068	  0.045	  0.028	 -0.073	  0.010	 -0.030	 -0.093	 -0.158	 -0.110	 -0.058
            185	 -0.013	 -0.080	 -0.068	  0.048	  0.028	 -0.075	  0.008	 -0.030	 -0.100	 -0.155	 -0.110	 -0.055
            186	 -0.015	 -0.080	 -0.065	  0.048	  0.025	 -0.073	  0.010	 -0.030	 -0.100	 -0.155	 -0.108	 -0.058
            187	 -0.015	 -0.078	 -0.063	  0.048	  0.023	 -0.070	  0.013	 -0.030	 -0.093	 -0.160	 -0.105	 -0.063
            188	 -0.013	 -0.078	 -0.065	  0.045	  0.025	 -0.070	  0.010	 -0.033	 -0.095	 -0.165	 -0.108	 -0.070
            189	 -0.010	 -0.080	 -0.068	  0.045	  0.028	 -0.073	  0.008	 -0.033	 -0.105	 -0.165	 -0.110	 -0.070
            190	 -0.013	 -0.080	 -0.068	  0.045	  0.028	 -0.073	  0.013	 -0.033	 -0.110	 -0.160	 -0.110	 -0.068
            191	 -0.015	 -0.080	 -0.065	  0.045	  0.025	 -0.073	  0.018	 -0.035	 -0.105	 -0.160	 -0.110	 -0.065
            192	 -0.015	 -0.080	 -0.065	  0.048	  0.025	 -0.073	  0.018	 -0.040	 -0.100	 -0.165	 -0.113	 -0.068
            193	 -0.015	 -0.083	 -0.068	  0.050	  0.025	 -0.075	  0.013	 -0.043	 -0.105	 -0.170	 -0.113	 -0.068
            194	 -0.018	 -0.088	 -0.070	  0.053	  0.025	 -0.078	  0.010	 -0.040	 -0.110	 -0.173	 -0.113	 -0.065
            195	 -0.020	 -0.090	 -0.070	  0.055	  0.023	 -0.078	  0.013	 -0.035	 -0.110	 -0.173	 -0.113	 -0.065
